	sexo	fami	horas	act_internet	act_tecnologia	uso_compra	uso_trans
92	Mujer	1	7	3	3	Si	No
93	Hombre	2	16	4	6	Si	Si
94	Hombre	4	18	5	6	Si	No
95	Mujer	5	7	1	4	No	No
96	Hombre	1	17	5	6	No	Si
97	Hombre	1	11	6	4	Si	Si
98	Hombre	2	14	4	5	Si	Si
99	Hombre	5	9	6	2	No	Si
100	Hombre	4	19	3	5	Si	Si
101	Hombre	5	12	5	6	Si	Si
102	Mujer	1	8	3	3	Si	No
103	Mujer	3	8	6	4	No	No
104	Hombre	1	12	6	7	Si	Si
105	Mujer	6	9	6	2	Si	Si
106	Hombre	4	14	5	7	No	Si
107	Mujer	3	9	4	3	No	No
108	Hombre	5	21	5	5	No	Si
109	Hombre	5	16	5	7	Si	No
110	Hombre	5	15	6	5	Si	Si
111	Hombre	4	19	6	7	Si	Si
112	Mujer	4	9	4	1	Si	Si
113	Mujer	4	8	6	2	Si	No
114	Mujer	4	8	4	2	No	No
115	Mujer	3	9	5	2	No	No
116	Mujer	5	7	4	4	No	No
117	Hombre	3	19	4	7	Si	Si
118	Mujer	5	10	3	3	Si	No
119	Mujer	6	7	3	3	Si	Si
120	Hombre	4	15	7	7	Si	Si
121	Mujer	3	10	4	2	Si	No
122	Hombre	7	15	6	7	Si	Si
123	Mujer	2	8	4	3	Si	Si
124	Hombre	2	20	2	3	Si	Si
125	Hombre	4	22	3	5	No	Si
126	Mujer	4	8	4	2	Si	No
127	Hombre	4	13	5	4	Si	Si
128	Mujer	3	10	3	4	Si	No
129	Mujer	2	8	1	6	Si	No
130	Hombre	5	14	3	6	Si	Si
131	Hombre	6	18	5	7	No	Si
132	Hombre	5	15	1	5	Si	Si
133	Mujer	3	8	6	4	Si	Si
134	Hombre	7	14	5	6	Si	Si
135	Hombre	4	16	7	5	Si	Si
136	Hombre	4	14	4	5	Si	Si
137	Mujer	4	9	5	3	No	Si
138	Mujer	7	8	5	3	No	No
139	Mujer	3	8	4	5	No	Si
140	Mujer	7	8	4	3	Si	No
141	Hombre	4	14	6	6	No	Si
142	Mujer	5	8	3	6	Si	Si
143	Hombre	3	13	4	6	Si	Si
144	Hombre	4	13	6	6	Si	Si
145	Mujer	4	9	4	4	Si	No
146	Hombre	5	20	7	5	Si	Si
147	Hombre	5	15	6	3	No	Si
148	Mujer	4	9	2	3	Si	Si
149	Mujer	3	9	3	3	No	No
150	Mujer	5	7	3	3	Si	No
151	Mujer	3	7	2	3	Si	No
152	Hombre	3	16	3	5	Si	Si
153	Mujer	3	9	6	7	Si	No
154	Mujer	5	10	3	7	No	No
155	Mujer	4	8	4	3	Si	No
156	Hombre	5	18	5	7	Si	Si
157	Mujer	5	8	3	4	Si	Si
158	Mujer	4	8	3	3	Si	Si
159	Hombre	4	15	5	5	Si	Si
160	Hombre	5	16	6	4	Si	Si
161	Mujer	4	11	3	4	No	No
162	Mujer	5	9	4	7	No	Si
163	Hombre	6	13	5	6	Si	Si
164	Hombre	4	16	5	6	Si	No
165	Mujer	5	8	3	2	Si	No
166	Hombre	4	15	3	6	Si	Si
167	Hombre	7	15	4	5	No	Si
168	Mujer	6	9	4	4	Si	No
169	Hombre	1	18	5	7	Si	Si
170	Mujer	5	8	1	5	No	Si
171	Mujer	1	9	4	4	Si	Si
172	Mujer	4	9	4	4	No	Si
173	Hombre	1	8	5	6	Si	Si
174	Hombre	3	17	2	4	No	Si
175	Hombre	6	17	4	7	No	Si
176	Hombre	5	12	3	5	No	Si
177	Hombre	1	20	5	5	Si	Si
178	Hombre	6	17	4	5	Si	Si
179	Hombre	5	19	5	3	Si	Si
180	Hombre	3	18	7	4	Si	Si
181	Hombre	4	17	5	4	No	Si
182	Mujer	5	9	3	5	Si	No
183	Hombre	4	12	3	5	Si	Si
184	Hombre	6	14	5	5	Si	Si
185	Hombre	3	14	5	5	Si	Si
186	Hombre	5	13	5	4	Si	Si
187	Mujer	5	8	4	5	Si	Si
188	Hombre	3	19	6	6	No	Si
189	Hombre	6	14	6	5	Si	Si
190	Mujer	3	9	3	1	Si	No
191	Hombre	5	11	6	5	Si	Si
192	Hombre	5	13	4	7	No	Si
193	Hombre	2	17	4	5	Si	Si
194	Hombre	5	15	5	7	Si	Si
195	Hombre	3	11	4	5	Si	No
196	Mujer	5	9	6	3	Si	No
197	Hombre	2	18	5	5	No	Si
198	Mujer	3	7	4	5	No	No
199	Hombre	6	11	5	7	Si	Si
200	Hombre	3	11	5	5	Si	Si
201	Hombre	2	19	5	6	Si	Si
202	Hombre	5	14	5	4	Si	No
203	Hombre	6	10	7	3	Si	No
204	Hombre	3	17	2	3	Si	Si
205	Hombre	6	13	5	7	Si	Si
206	Hombre	5	16	5	7	Si	Si
207	Mujer	1	10	6	7	No	Si
208	Hombre	4	15	5	7	No	Si
209	Mujer	4	8	7	3	Si	No
210	Hombre	2	21	5	5	No	No
211	Hombre	5	16	5	3	No	Si
212	Mujer	6	8	2	4	No	Si
213	Mujer	1	8	5	3	No	Si
214	Hombre	5	18	5	6	Si	No
215	Hombre	2	18	7	7	No	Si
216	Mujer	2	10	4	4	Si	No
217	Mujer	3	7	4	3	Si	Si
218	Hombre	4	10	4	5	Si	Si
219	Hombre	4	19	4	5	Si	Si
220	Hombre	4	11	5	4	Si	No
221	Hombre	5	18	7	6	Si	Si
222	Mujer	5	7	1	4	No	Si
223	Hombre	2	17	4	6	Si	Si
224	Hombre	5	12	1	6	Si	Si
225	Mujer	3	7	1	3	No	No
226	Hombre	5	14	3	2	No	No
227	Hombre	5	16	6	6	Si	Si
228	Hombre	3	20	5	7	Si	Si
229	Hombre	6	23	5	6	Si	Si
230	Hombre	4	10	6	7	No	Si
231	Mujer	5	7	4	3	Si	Si
232	Mujer	6	8	3	3	Si	No
233	Hombre	4	16	6	6	Si	Si
234	Hombre	7	14	6	6	Si	Si
235	Hombre	3	17	2	7	Si	Si
236	Mujer	2	10	2	3	No	Si
237	Mujer	6	10	1	6	Si	No
238	Mujer	4	7	2	1	Si	No
239	Hombre	5	17	6	5	Si	No
240	Mujer	3	9	4	4	No	Si
241	Hombre	5	10	5	6	No	Si
242	Hombre	5	18	5	2	Si	No
243	Mujer	7	8	3	3	Si	Si
244	Mujer	2	8	2	5	Si	No
245	Hombre	5	13	2	7	Si	Si
246	Mujer	6	9	5	4	No	Si
247	Hombre	3	18	5	7	Si	Si
248	Hombre	4	12	5	6	No	Si
249	Hombre	5	16	4	6	No	Si
250	Hombre	1	15	6	3	Si	Si
251	Mujer	2	8	3	7	Si	No
252	Mujer	1	8	4	4	Si	Si
253	Hombre	5	16	5	7	Si	No
254	Hombre	5	11	5	6	No	Si
255	Hombre	1	15	2	7	Si	Si
256	Hombre	5	15	5	6	Si	Si
257	Mujer	3	9	4	2	No	Si
258	Hombre	3	13	2	5	No	Si
259	Mujer	2	9	6	2	Si	No
260	Mujer	1	8	3	2	Si	No
261	Mujer	7	8	1	3	Si	No
262	Hombre	3	14	5	7	No	Si
263	Mujer	4	9	5	3	No	No
264	Mujer	2	8	3	2	No	No
265	Hombre	5	18	3	7	Si	Si
266	Hombre	3	13	4	7	No	Si
267	Hombre	6	16	5	6	Si	Si
268	Mujer	5	8	2	3	Si	No
269	Mujer	5	8	4	2	Si	No
270	Hombre	5	10	5	7	Si	Si
271	Hombre	6	16	5	6	Si	Si
272	Mujer	3	7	3	7	No	No
273	Mujer	5	11	3	2	No	No
274	Mujer	6	9	7	3	Si	No
275	Hombre	4	14	4	5	Si	Si
276	Mujer	5	7	3	4	Si	No
277	Hombre	2	12	5	6	No	Si
278	Hombre	2	16	2	6	Si	Si
279	Hombre	4	12	4	5	Si	Si
280	Mujer	4	7	3	1	Si	Si
281	Hombre	5	15	4	7	Si	Si
282	Mujer	6	8	7	4	No	Si
283	Hombre	6	15	6	6	Si	Si
284	Hombre	3	11	4	5	Si	Si
285	Hombre	2	10	4	5	Si	Si
286	Mujer	5	8	5	4	No	Si
287	Hombre	2	12	6	7	No	No
288	Hombre	3	15	4	5	Si	Si
289	Mujer	5	7	6	4	Si	No
290	Mujer	2	8	5	3	No	Si
291	Hombre	4	18	4	6	Si	Si
292	Hombre	4	11	5	6	Si	Si
293	Hombre	2	8	5	6	No	Si
294	Mujer	3	8	5	4	Si	No
295	Mujer	5	9	2	3	Si	Si
296	Mujer	6	9	3	6	Si	No
297	Hombre	6	12	6	6	Si	Si
298	Hombre	1	13	5	4	No	Si
299	Hombre	4	12	4	3	Si	No
300	Hombre	6	15	3	6	No	Si
301	Hombre	5	18	5	5	Si	Si
302	Mujer	3	9	5	3	Si	No
303	Hombre	6	15	6	5	Si	No
304	Hombre	4	13	5	7	Si	Si
305	Hombre	7	21	5	5	Si	Si
306	Mujer	5	7	5	1	Si	No
307	Hombre	3	20	5	6	Si	Si
308	Hombre	6	13	5	3	No	Si
309	Hombre	1	13	5	7	No	Si
310	Hombre	4	17	5	6	Si	Si
311	Hombre	4	14	4	5	Si	No
312	Hombre	5	13	5	7	Si	Si
313	Mujer	1	10	4	3	Si	Si
314	Hombre	3	12	5	3	Si	Si
315	Mujer	3	9	4	4	Si	No
316	Hombre	5	14	4	7	Si	Si
317	Mujer	4	8	2	7	Si	Si
318	Hombre	3	17	7	3	Si	Si
319	Hombre	6	22	7	6	Si	Si
320	Hombre	4	11	5	5	Si	No
